#{"t_start": 1711371070.8182018, "env_id": "None"}
r,l,t
460.0,1446,532.808854
360.0,1251,535.731348
440.0,1263,539.119199
620.0,1935,543.976462
300.0,969,546.263542
300.0,1042,548.992736
480.0,1446,554.365872
360.0,1157,557.170973
240.0,833,559.183051
240.0,801,561.39464
640.0,1713,565.516539
660.0,1967,570.52733
300.0,950,573.07546
740.0,2092,578.711528
300.0,1052,581.191682
500.0,1474,584.947512
400.0,1175,588.000597
580.0,1683,592.55057
520.0,1607,596.357439
300.0,916,598.836481
220.0,775,600.636712
520.0,1447,604.022059
300.0,937,606.257651
440.0,1261,609.205415
620.0,1855,613.851326
440.0,1397,617.206056
240.0,700,619.046638
380.0,1183,622.198245
560.0,1575,626.118622
280.0,869,628.46738
320.0,1077,631.377192
580.0,1551,635.13454
340.0,896,637.214473
240.0,742,638.922208
300.0,1019,641.454825
320.0,975,643.953846
280.0,880,646.015525
260.0,861,648.291096
320.0,1007,651.104102
340.0,1036,653.723763
420.0,1126,656.624377
220.0,687,658.466848
200.0,696,660.197748
260.0,837,662.161466
340.0,992,664.832205
220.0,675,666.41031
240.0,726,668.390948
340.0,959,670.663734
360.0,989,672.999199
400.0,1119,676.009103
280.0,849,678.006465
340.0,841,680.31546
180.0,713,681.961924
400.0,1095,684.748073
320.0,779,686.941486
120.0,596,688.329267
400.0,1233,691.227645
140.0,657,692.751879
640.0,1805,697.279213
400.0,1213,700.14845
460.0,1463,704.22025
420.0,1182,708.26681
240.0,770,710.110004
400.0,1196,713.352042
460.0,1227,716.231391
160.0,732,717.938684
220.0,729,719.98557
160.0,645,721.554233
300.0,915,723.676453
640.0,1779,728.184466
180.0,723,730.19092
360.0,1169,732.971285
360.0,913,735.468399
520.0,1383,738.703199
320.0,1061,741.51116
340.0,1108,744.170307
260.0,890,746.230706
220.0,791,748.392383
100.0,514,749.587322
340.0,1109,752.215088
400.0,1131,755.026356
140.0,453,756.284174
240.0,825,758.196235
360.0,1105,761.16023
200.0,613,762.621629
340.0,995,764.933685
260.0,954,767.40672
380.0,978,770.099024
180.0,658,771.829468
400.0,1210,774.952185
320.0,962,777.214345
220.0,789,779.137375
520.0,1596,783.174157
400.0,1175,785.902931
440.0,1366,789.059227
400.0,1306,792.190217
220.0,778,794.109617
460.0,1353,797.51299
580.0,1591,801.573393
140.0,481,802.720998
300.0,971,805.250716
480.0,1387,808.618239
280.0,918,810.969923
160.0,492,812.300498
640.0,1707,816.581175
440.0,1343,819.701515
200.0,779,821.5024
520.0,1440,825.297107
260.0,851,827.269499
300.0,963,829.594875
240.0,886,831.981729
280.0,967,834.613723
180.0,708,836.296617
500.0,1330,839.380533
260.0,842,841.378139
280.0,886,843.46202
400.0,1064,846.358276
180.0,676,847.932606
180.0,662,849.813808
320.0,1011,852.463012
160.0,599,853.887921
220.0,710,855.672854
260.0,893,858.053784
340.0,1026,860.590084
300.0,959,863.087496
200.0,572,864.41637
360.0,1039,867.15567
340.0,948,869.433017
200.0,566,871.0385
120.0,531,872.265287
280.0,927,874.408283
100.0,503,875.578707
280.0,848,877.557699
200.0,674,879.402175
400.0,1146,882.186282
320.0,979,884.450901
300.0,838,886.741411
160.0,561,888.027076
220.0,887,890.516874
220.0,767,892.305365
280.0,806,894.195266
640.0,1759,898.610131
140.0,538,899.988443
280.0,925,902.398598
280.0,825,904.307262
100.0,432,905.343139
480.0,1351,908.81558
480.0,1351,912.341212
460.0,1329,915.768408
440.0,1112,918.482273
120.0,531,919.699817
320.0,1053,922.219331
260.0,740,924.249206
380.0,1100,927.122629
260.0,796,928.991421
280.0,898,931.103084
460.0,1329,934.57442
400.0,1228,937.536252
320.0,966,939.796639
60.0,404,940.729283
140.0,526,942.008806
120.0,535,943.630905
160.0,646,945.255508
420.0,1151,948.240767
200.0,674,949.961097
240.0,744,951.928478
400.0,1114,954.572905
380.0,1114,957.506829
180.0,747,959.220789
300.0,890,961.638346
280.0,941,963.855941
200.0,570,965.38441
260.0,827,967.508639
160.0,596,968.93479
440.0,1314,972.321177
140.0,572,973.661081
380.0,1196,976.498669
160.0,555,978.11544
300.0,753,979.886833
220.0,730,981.608721
240.0,718,983.442903
160.0,699,985.217277
300.0,897,987.374993
180.0,641,989.179526
500.0,1551,993.070836
320.0,944,995.439559
140.0,577,997.000206
400.0,1141,999.900001
600.0,1604,1003.942788
360.0,1127,1006.589312
440.0,1310,1009.761805
200.0,774,1011.9229
300.0,858,1013.945615
340.0,1077,1016.844986
260.0,737,1018.842249
200.0,696,1020.561966
220.0,779,1022.379286
320.0,1015,1025.080428
400.0,1100,1027.664875
300.0,1069,1030.516996
520.0,1391,1034.183349
220.0,747,1035.982806
300.0,999,1038.580751
360.0,1129,1041.504593
220.0,729,1043.309888
300.0,938,1045.668154
540.0,1599,1049.558138
440.0,1214,1052.774526
220.0,704,1054.417481
360.0,1121,1057.094116
260.0,804,1059.265551
180.0,664,1060.797211
360.0,1127,1063.909926
320.0,1018,1066.292938
300.0,1035,1068.790802
220.0,793,1071.148948
280.0,799,1073.024428
400.0,1207,1076.270254
480.0,1435,1079.700631
140.0,534,1080.948392
220.0,719,1082.773847
260.0,784,1084.861784
340.0,1104,1087.5748
260.0,693,1089.462147
180.0,666,1091.267888
360.0,1140,1094.045594
320.0,1050,1096.874237
180.0,586,1098.291882
140.0,544,1099.596546
260.0,818,1101.736668
220.0,729,1103.583467
180.0,620,1105.082318
220.0,748,1106.82906
280.0,829,1108.812172
260.0,783,1110.660672
500.0,1386,1113.936658
220.0,634,1115.471013
160.0,583,1116.857329
340.0,1076,1119.620656
180.0,692,1121.403773
340.0,1003,1124.106219
220.0,703,1126.044199
120.0,464,1127.179548
280.0,983,1129.702705
360.0,1015,1132.379122
300.0,984,1134.733376
660.0,1847,1139.366115
320.0,1030,1141.826472
240.0,662,1143.400738
180.0,641,1144.999662
140.0,541,1146.499498
380.0,1117,1149.097276
300.0,988,1151.722055
480.0,1335,1154.95418
100.0,459,1156.28951
80.0,384,1157.27973
320.0,935,1159.478469
600.0,1628,1163.764574
220.0,761,1165.614262
260.0,885,1167.873737
180.0,561,1169.388672
120.0,538,1170.636782
360.0,1078,1173.602309
300.0,913,1175.765707
240.0,762,1177.904384
200.0,696,1179.553417
380.0,1111,1182.588005
220.0,730,1184.347119
260.0,859,1186.35715
280.0,920,1188.630442
200.0,747,1190.569327
260.0,826,1192.742933
340.0,937,1195.265581
180.0,710,1196.951712
160.0,618,1198.406644
100.0,462,1199.58172
320.0,1036,1202.283298
320.0,945,1205.082826
240.0,762,1207.171283
180.0,613,1208.61207
480.0,1371,1212.05301
160.0,636,1213.673913
260.0,715,1215.439587
580.0,1522,1219.377592
400.0,1227,1222.454645
260.0,854,1224.629125
420.0,1194,1227.812074
260.0,826,1229.867006
300.0,822,1232.09852
340.0,1051,1234.601768
620.0,1740,1239.089199
520.0,1336,1242.463109
380.0,1016,1244.971911
220.0,682,1246.594005
460.0,1238,1249.8575
280.0,826,1251.963954
180.0,717,1253.930827
240.0,818,1255.909978
