#{"t_start": 1711294625.507393, "env_id": "None"}
r,l,t
260.0,873,581.261089
160.0,696,583.158821
180.0,743,585.264663
180.0,817,587.781532
340.0,1208,591.361768
320.0,1010,594.21703
240.0,810,596.423585
340.0,1167,599.534688
180.0,736,601.644497
260.0,862,604.210533
160.0,714,606.453871
200.0,652,608.553962
260.0,1020,611.732218
300.0,952,614.320379
420.0,1254,617.818166
360.0,1142,620.875983
300.0,1049,623.785579
340.0,1075,626.787127
280.0,995,629.646038
120.0,634,631.337981
320.0,970,633.886396
300.0,900,636.270133
320.0,841,638.932518
200.0,750,641.200314
300.0,971,643.771984
200.0,811,645.957908
220.0,749,648.136249
300.0,959,651.076742
240.0,814,653.348403
240.0,816,655.926691
320.0,913,658.377786
200.0,626,660.129192
340.0,1034,662.966995
300.0,943,665.592812
180.0,705,667.563433
260.0,937,670.086758
340.0,1169,673.37674
220.0,762,675.518793
340.0,1014,678.290726
280.0,846,680.604793
320.0,1044,683.592035
260.0,814,686.191221
360.0,1082,689.338895
200.0,714,691.305409
420.0,1321,695.02358
360.0,1015,697.789894
220.0,777,700.112842
280.0,914,702.831024
220.0,873,705.165538
400.0,1215,709.003406
160.0,618,710.665141
340.0,1030,713.489982
240.0,833,715.723647
240.0,730,717.683219
340.0,1005,720.762166
340.0,1103,723.751777
340.0,1020,726.588612
280.0,994,729.275652
380.0,1181,732.554538
220.0,667,734.409288
260.0,912,736.88054
200.0,741,738.949225
320.0,1139,742.455736
280.0,1128,745.952115
180.0,796,748.082398
300.0,877,750.921582
380.0,999,753.637707
320.0,1085,756.656234
320.0,1032,759.375839
280.0,981,762.003186
300.0,988,764.637894
240.0,788,766.775995
320.0,1081,769.664697
260.0,795,772.194543
280.0,960,775.076341
160.0,714,777.016104
220.0,760,779.053959
300.0,983,781.696878
380.0,1205,785.478449
360.0,1114,788.521907
180.0,814,790.671078
280.0,875,793.42395
240.0,828,795.797045
360.0,1001,798.515817
140.0,481,799.910869
120.0,498,801.279184
360.0,1083,804.201817
320.0,1020,806.946113
220.0,827,809.350474
240.0,858,811.651044
500.0,1477,815.840943
440.0,1150,819.360552
220.0,768,821.465028
280.0,890,824.106756
360.0,1083,826.934803
380.0,1184,830.312081
380.0,1099,833.814427
