#{"t_start": 1711463502.5348823, "env_id": "None"}
r,l,t
200.0,734,578.181012
220.0,781,580.205727
220.0,828,582.670726
300.0,1099,585.449097
260.0,794,587.48349
360.0,1311,591.176326
360.0,1050,593.826199
280.0,807,595.857124
320.0,1018,598.61769
220.0,844,602.241658
240.0,851,605.655299
300.0,975,610.205257
480.0,1212,615.107993
240.0,803,619.145554
380.0,1073,624.317047
180.0,684,627.548827
280.0,839,631.350981
320.0,899,634.443208
400.0,1382,638.564807
200.0,683,641.191839
320.0,899,644.612732
260.0,851,647.199955
340.0,960,649.846768
180.0,699,652.049345
320.0,1140,654.935543
240.0,899,657.333927
240.0,799,659.667251
260.0,833,661.850306
320.0,1014,665.016659
340.0,1072,667.997624
200.0,752,670.07492
320.0,1085,673.262802
180.0,681,675.045053
180.0,621,676.640318
360.0,1061,679.32993
320.0,1137,682.195862
240.0,1033,684.937437
220.0,878,687.45083
320.0,934,690.138633
300.0,1001,692.778847
440.0,1396,696.327005
340.0,1003,698.947304
320.0,930,701.670181
320.0,933,704.040366
360.0,1205,707.121363
460.0,1254,710.444298
340.0,894,712.988071
200.0,723,714.846404
380.0,1102,717.73389
300.0,962,720.454979
160.0,584,722.021616
160.0,615,723.947981
320.0,1129,726.823896
340.0,994,729.382989
300.0,1096,732.137586
260.0,860,734.616127
340.0,1016,737.176488
400.0,1158,740.12396
220.0,922,742.511714
420.0,1223,745.58007
220.0,811,747.631104
340.0,1022,750.579121
460.0,1263,753.94803
500.0,1463,757.949104
280.0,980,760.688094
440.0,1211,764.06074
300.0,936,766.420496
200.0,721,768.283557
440.0,1209,771.332192
160.0,649,772.970541
300.0,933,775.514411
240.0,714,777.573414
280.0,877,779.840899
380.0,1234,783.26169
240.0,917,785.637394
300.0,1032,788.52168
280.0,994,791.165932
340.0,1024,794.089188
160.0,610,795.624916
220.0,671,797.39494
320.0,986,800.189264
460.0,1289,804.005801
420.0,1429,807.666666
300.0,1067,810.454423
240.0,793,812.697337
300.0,954,815.178726
340.0,1045,817.917551
240.0,957,820.612094
120.0,555,822.007191
260.0,927,824.386124
400.0,1207,827.842965
300.0,1045,830.457155
260.0,939,833.00994
260.0,865,835.422822
340.0,1128,838.592386
360.0,1141,841.537244
320.0,883,843.800113
360.0,1257,846.981007
320.0,1056,850.005996
360.0,1056,852.877612
220.0,869,855.521889
440.0,1350,859.343369
340.0,1096,862.194671
360.0,1004,864.822186
400.0,1010,867.350386
320.0,1067,870.064839
200.0,791,872.187656
240.0,792,874.466955
420.0,1259,877.684132
280.0,765,879.646109
300.0,945,882.04536
260.0,880,884.450171
360.0,1269,887.901672
280.0,968,890.683828
460.0,1297,893.975754
320.0,828,896.080313
280.0,1047,899.129977
480.0,1308,902.445374
480.0,1289,905.695674
340.0,1081,908.502994
420.0,1144,911.696442
260.0,883,914.355505
380.0,1159,917.305502
240.0,787,919.307069
280.0,861,921.514582
380.0,1076,924.521945
320.0,972,927.053623
260.0,907,929.662024
380.0,1106,932.624209
320.0,988,935.38322
240.0,843,937.524782
300.0,1010,940.088243
200.0,752,941.995961
220.0,795,944.161008
360.0,1056,947.155388
280.0,925,949.541786
320.0,955,951.945719
400.0,1170,955.338628
300.0,840,957.47605
260.0,943,960.212089
240.0,796,962.267002
220.0,859,964.945072
340.0,973,967.503849
340.0,1047,970.345353
400.0,1076,973.367434
380.0,1115,976.199146
300.0,1053,979.347736
360.0,1133,982.209978
360.0,1072,984.940705
260.0,838,987.405704
180.0,648,989.094792
320.0,928,991.469343
420.0,1052,994.12128
420.0,1248,997.66976
340.0,1015,1000.30683
320.0,973,1003.103227
280.0,911,1005.509486
240.0,826,1007.81108
260.0,906,1010.120836
320.0,1167,1013.397454
240.0,795,1015.519043
260.0,871,1017.817477
280.0,858,1020.017055
320.0,987,1022.84317
260.0,806,1024.880275
600.0,1440,1028.837351
280.0,915,1031.216339
200.0,801,1033.234325
320.0,872,1035.445963
340.0,1203,1038.555318
240.0,845,1040.962992
320.0,987,1043.527851
320.0,1193,1046.750387
160.0,748,1048.806923
200.0,764,1050.947974
220.0,733,1052.99013
460.0,1329,1056.337765
180.0,749,1058.257713
260.0,933,1060.600404
360.0,1040,1063.617161
260.0,865,1065.921625
360.0,1096,1069.337501
240.0,866,1071.590321
320.0,964,1074.081528
380.0,1146,1077.302259
240.0,793,1079.381655
320.0,952,1081.810035
280.0,928,1084.160556
260.0,881,1086.753736
280.0,905,1089.057844
160.0,548,1090.445129
320.0,1139,1093.65995
180.0,682,1095.38777
220.0,797,1097.836179
280.0,866,1100.040485
320.0,1004,1102.577607
220.0,1061,1105.290161
440.0,1282,1108.870428
260.0,851,1111.101865
340.0,1180,1114.135197
440.0,1167,1117.475941
420.0,1095,1120.649173
260.0,1029,1123.241124
320.0,1096,1126.036077
380.0,1072,1129.070871
380.0,1135,1132.007566
300.0,1113,1134.910409
280.0,1047,1137.939122
260.0,956,1140.355031
380.0,1168,1143.601739
260.0,857,1145.862257
300.0,917,1148.222313
180.0,728,1150.350138
320.0,983,1152.795132
260.0,904,1155.177854
380.0,1114,1158.131733
360.0,1022,1160.943906
280.0,900,1163.625147
