#{"t_start": 1711578780.53631, "env_id": "None"}
r,l,t
360.0,1124,616.042769
520.0,1509,620.559506
300.0,863,623.001852
280.0,844,625.492352
420.0,1191,628.476813
380.0,1187,631.753107
300.0,843,634.021911
140.0,592,635.707338
300.0,926,638.09888
220.0,826,640.499738
360.0,1169,643.668788
440.0,1180,647.18538
320.0,1091,650.010426
220.0,778,652.324158
280.0,832,654.394285
260.0,972,657.250177
360.0,1045,660.240361
260.0,953,662.756657
400.0,1169,665.926013
300.0,1011,668.860443
300.0,1044,671.543725
280.0,1009,674.382221
420.0,1175,678.374022
340.0,999,682.510591
260.0,1016,686.666671
260.0,1102,689.747618
420.0,1174,692.945139
440.0,1200,696.234227
380.0,1095,699.325657
380.0,1202,702.581219
400.0,1055,705.414667
380.0,1075,708.525056
340.0,1030,711.446628
400.0,1140,714.433024
320.0,951,717.034895
400.0,1164,720.192566
300.0,922,722.733046
260.0,798,725.053588
240.0,871,727.279843
360.0,1114,730.448761
240.0,882,732.907079
360.0,1055,735.699441
180.0,638,738.090262
320.0,947,741.922167
240.0,876,745.592642
340.0,976,748.937195
240.0,809,750.963949
280.0,802,752.969635
300.0,942,755.807625
240.0,800,757.85777
360.0,1192,761.155196
360.0,1079,764.247769
300.0,927,766.650196
300.0,979,769.597296
260.0,827,771.788638
200.0,748,773.901129
280.0,891,776.263649
140.0,588,778.00933
260.0,846,780.173795
340.0,1092,783.294217
220.0,690,785.131599
240.0,844,787.523775
260.0,830,789.707183
320.0,900,792.268233
240.0,859,794.786134
340.0,927,797.636435
360.0,956,801.677198
300.0,939,805.626364
240.0,800,808.146758
320.0,984,810.645977
280.0,1004,813.469173
360.0,1186,816.55276
380.0,1042,819.48336
280.0,863,822.008043
320.0,960,824.814463
480.0,1183,828.468069
320.0,957,831.213045
280.0,941,833.702257
260.0,924,836.334591
340.0,958,838.975667
320.0,952,841.531853
360.0,994,844.417741
140.0,596,846.073771
360.0,1018,849.026955
300.0,912,851.531749
360.0,1084,854.615186
320.0,1019,857.619036
380.0,1183,862.645274
220.0,740,865.775506
260.0,838,868.172622
420.0,1161,871.482012
340.0,1115,874.6155
260.0,937,877.291913
420.0,1146,880.278631
340.0,1004,883.096609
300.0,851,885.532417
400.0,1022,888.501867
340.0,1134,891.716554
260.0,969,894.522926
200.0,666,896.206131
400.0,1164,899.484744
360.0,1019,902.467392
340.0,987,905.291494
460.0,1116,908.253333
380.0,1026,911.062066
400.0,1171,914.174934
360.0,1164,917.972115
300.0,909,921.690315
320.0,1028,925.957822
320.0,927,929.030163
300.0,943,931.401423
420.0,1106,934.407443
280.0,910,936.86849
400.0,967,939.66479
380.0,1158,942.904872
460.0,1181,946.011172
300.0,949,948.829488
240.0,808,951.101388
300.0,943,953.623531
380.0,1175,956.793417
380.0,991,959.68694
340.0,987,962.507465
400.0,1182,965.81954
260.0,801,968.17804
200.0,635,969.775311
260.0,779,972.033201
380.0,1112,975.164447
420.0,1197,979.653127
280.0,792,982.929559
360.0,939,986.676634
300.0,1005,989.510039
420.0,1010,992.424801
280.0,824,994.798261
260.0,742,996.668585
260.0,884,999.025244
400.0,1129,1002.122719
280.0,918,1004.812245
220.0,747,1006.924628
360.0,1083,1010.123795
500.0,1405,1013.896595
240.0,762,1016.083371
440.0,1084,1019.162361
360.0,1006,1022.017239
220.0,688,1024.029284
320.0,951,1026.48237
320.0,969,1029.307256
320.0,959,1032.062696
320.0,1002,1034.601213
200.0,749,1037.021473
320.0,961,1040.9687
360.0,976,1045.044033
400.0,1118,1048.592413
480.0,1499,1053.03408
260.0,960,1055.726889
360.0,1073,1058.52045
360.0,952,1061.262405
360.0,1138,1064.312959
240.0,838,1066.64041
360.0,1062,1069.728983
260.0,811,1072.07271
320.0,925,1074.474968
400.0,1131,1077.749632
380.0,1068,1080.672339
400.0,1050,1083.692659
400.0,1200,1086.822352
160.0,633,1088.684402
420.0,1137,1091.899196
380.0,1085,1094.912103
360.0,1082,1098.737323
400.0,1017,1102.956087
260.0,780,1106.216909
340.0,987,1109.097648
