#{"t_start": 1711818954.082277, "env_id": "ALE/Seaquest-v5"}
r,l,t
140.0,694,327.167017
420.0,1299,328.789313
300.0,925,329.942486
280.0,875,331.355301
200.0,861,332.858988
560.0,1767,335.1062
200.0,807,336.133072
220.0,905,337.227413
400.0,1276,338.924741
220.0,884,340.007183
420.0,1210,341.625114
280.0,997,343.026273
360.0,1196,345.090322
260.0,940,346.225929
320.0,1088,347.596488
340.0,1254,349.189353
420.0,1259,350.735379
260.0,912,351.860166
220.0,892,352.885155
220.0,800,353.870156
380.0,1090,355.511019
420.0,1391,357.680248
160.0,620,358.41264
420.0,1302,359.989734
300.0,1083,361.288623
460.0,1448,363.065751
40.0,410,363.491461
340.0,1143,364.919614
640.0,1935,367.529047
660.0,2111,370.598859
280.0,998,371.857224
340.0,1069,373.147195
260.0,955,374.314224
260.0,969,375.494482
640.0,1975,377.899773
420.0,1290,379.791881
300.0,1011,381.461334
460.0,1644,383.470759
460.0,1309,385.028058
260.0,924,386.146906
440.0,1466,387.984211
400.0,1447,389.734385
540.0,1608,392.115069
360.0,1231,394.026491
240.0,1015,395.213945
620.0,1879,397.541828
340.0,1173,398.9541
500.0,1599,400.945928
660.0,2039,403.620888
380.0,1265,405.696666
240.0,873,406.777529
320.0,1170,408.191575
220.0,877,409.25356
120.0,623,409.992692
140.0,572,410.654955
200.0,815,411.619262
240.0,983,412.817939
340.0,1029,414.04564
180.0,617,414.757907
260.0,900,416.196902
500.0,1437,418.330041
240.0,922,419.473032
160.0,728,420.32295
500.0,1530,422.143964
380.0,1193,423.613817
240.0,944,424.702985
320.0,1184,426.107319
180.0,721,426.994461
300.0,1136,428.94301
400.0,1283,430.618924
400.0,1290,432.242023
320.0,1132,433.637521
340.0,1143,435.026163
100.0,464,435.56635
280.0,1023,436.795427
240.0,920,437.871142
340.0,1174,439.306157
280.0,1002,441.085605
240.0,994,442.401423
440.0,1447,444.155447
400.0,1103,445.473424
420.0,1431,447.200431
460.0,1417,448.873457
360.0,1115,450.218467
300.0,1183,451.802429
480.0,1638,454.381313
340.0,1162,455.761776
260.0,941,456.895045
280.0,959,458.019181
320.0,1121,459.372868
180.0,736,460.284446
220.0,901,461.32937
260.0,939,462.490335
260.0,943,463.794951
300.0,939,465.586334
460.0,1580,467.525377
180.0,841,468.52159
180.0,653,469.290674
520.0,1659,471.308723
280.0,1035,472.567283
260.0,1057,473.888062
440.0,1246,475.444762
340.0,1051,477.247238
340.0,1094,478.79338
180.0,920,479.875406
420.0,1178,481.278453
500.0,1567,483.193768
400.0,1436,484.934464
380.0,1135,486.30941
500.0,1693,488.78172
280.0,920,490.315385
320.0,1210,491.753858
180.0,704,492.664542
340.0,1276,494.210713
240.0,815,495.154497
260.0,997,496.35655
280.0,1033,497.60589
360.0,1243,499.083005
460.0,1548,501.639444
460.0,1527,503.62474
460.0,1485,505.46431
520.0,1582,507.359473
200.0,790,508.307819
360.0,1122,509.647863
440.0,1455,511.392704
420.0,1265,513.450912
400.0,1304,515.23723
380.0,1196,516.65439
300.0,994,517.863138
320.0,1295,519.386641
500.0,1436,521.145445
600.0,1927,523.548035
340.0,1179,525.435233
360.0,1159,527.086365
360.0,1290,528.713122
240.0,891,529.747634
320.0,993,530.969757
440.0,1257,532.491681
420.0,1424,534.217202
320.0,1167,535.640082
400.0,1380,537.971548
460.0,1462,539.890089
460.0,1527,541.699306
360.0,1256,543.225634
300.0,1100,544.547069
300.0,878,545.554817
440.0,1548,547.420084
260.0,912,548.716065
360.0,1260,550.83186
180.0,718,551.731395
360.0,1290,553.322454
400.0,1495,555.165351
400.0,1356,556.78036
220.0,822,557.782682
260.0,998,558.985958
380.0,1359,560.712517
260.0,824,562.272144
380.0,1359,563.952891
420.0,1419,565.678894
420.0,1292,567.196449
440.0,1261,568.749015
380.0,1379,570.364729
340.0,1215,571.847789
540.0,1816,574.753111
380.0,1419,576.469998
480.0,1478,578.201687
380.0,1306,579.805633
440.0,1388,581.485373
260.0,969,582.597878
360.0,1155,584.001401
420.0,1406,586.348464
240.0,823,587.44241
140.0,618,588.17293
380.0,1388,589.814785
440.0,1415,591.555889
200.0,777,592.452363
480.0,1377,594.12549
180.0,759,594.987705
240.0,917,596.104617
200.0,747,597.204675
220.0,779,598.686555
180.0,746,599.593616
260.0,1063,600.87536
280.0,954,602.036943
540.0,1695,604.085271
240.0,1002,605.281211
480.0,1757,607.397935
380.0,1147,608.859938
260.0,812,610.405418
340.0,1174,611.960512
240.0,826,612.910626
560.0,1612,614.906722
520.0,1707,617.000871
340.0,1180,618.420136
380.0,1210,619.883597
380.0,1191,621.583565
360.0,1101,623.358515
340.0,1111,624.683103
360.0,1132,626.086375
360.0,1125,627.42819
460.0,1561,629.323281
280.0,1131,630.656877
560.0,1770,632.768333
520.0,1928,635.814286
220.0,749,636.672971
420.0,1479,638.431546
360.0,1114,639.738182
360.0,1159,641.117998
380.0,1331,642.732018
420.0,1369,644.343969
360.0,1287,646.537321
280.0,927,647.771877
400.0,1419,649.456655
160.0,620,650.167904
540.0,1590,652.100089
280.0,1131,653.438759
280.0,976,654.594943
280.0,1011,655.801158
420.0,1501,657.911322
260.0,874,659.372622
240.0,783,660.273692
440.0,1455,662.0328
240.0,940,663.150997
220.0,800,664.069412
440.0,1431,665.777696
520.0,1662,667.761178
300.0,1131,669.205577
360.0,1263,671.458687
240.0,842,672.449137
260.0,984,673.622258
340.0,1211,675.084727
460.0,1473,676.876632
140.0,629,677.618568
500.0,1626,679.571541
140.0,618,680.276689
260.0,956,681.587894
380.0,1306,683.703242
620.0,1986,686.11354
380.0,1354,687.755528
500.0,1626,689.730294
540.0,1734,691.798051
320.0,1041,693.029555
320.0,1052,694.865985
440.0,1323,696.582481
640.0,1991,699.008707
260.0,906,700.094036
220.0,783,700.980347
440.0,1439,702.768241
400.0,1373,704.402801
300.0,1044,705.964107
400.0,1215,707.955615
380.0,1295,709.513322
400.0,1344,711.204007
260.0,844,712.208325
240.0,894,713.294324
280.0,936,714.366132
180.0,710,715.237855
280.0,992,716.431329
160.0,644,717.205625
280.0,860,718.688211
120.0,591,719.668893
200.0,803,720.647054
320.0,1120,721.987811
320.0,1069,723.264691
300.0,1029,724.488347
180.0,707,725.301487
420.0,1513,727.124253
260.0,871,728.118183
220.0,850,729.172197
400.0,1311,731.485148
380.0,1263,733.043433
560.0,1658,735.037896
520.0,1735,737.151843
400.0,1388,738.846485
300.0,979,739.972933
380.0,1454,741.885096
340.0,1186,743.880342
200.0,683,744.721003
200.0,762,745.615144
420.0,1416,747.308388
360.0,1063,748.580112
580.0,1824,750.758822
520.0,1834,752.972396
440.0,1447,755.263397
320.0,1122,756.74405
360.0,1229,758.235975
340.0,1115,759.593421
240.0,997,760.795599
280.0,823,761.742885
200.0,895,762.816759
440.0,1516,764.625554
640.0,1959,767.739969
180.0,747,768.657317
360.0,1255,770.149194
260.0,980,771.349354
180.0,858,772.33998
200.0,737,773.242955
380.0,1227,774.70269
420.0,1295,776.275664
160.0,627,776.983419
340.0,1246,778.964604
360.0,1176,780.703835
380.0,1253,782.210372
320.0,1146,783.571863
200.0,856,784.616728
240.0,716,785.431889
400.0,1279,786.993304
240.0,838,787.982253
360.0,1234,789.476856
280.0,1183,791.543782
360.0,1073,792.992565
500.0,1611,794.933187
180.0,683,795.725894
300.0,1087,797.069036
460.0,1519,798.920509
380.0,1434,800.624074
360.0,1275,802.317714
400.0,1367,804.537901
320.0,1008,805.741774
460.0,1386,807.458006
520.0,1628,809.453418
260.0,1020,810.678511
340.0,1277,812.199808
200.0,825,813.185343
340.0,1131,814.7675
300.0,1099,816.552476
420.0,1391,818.17889
340.0,1226,819.693928
180.0,591,820.388433
340.0,1178,821.797331
280.0,945,822.95089
440.0,1479,824.73426
320.0,1209,826.259289
360.0,1244,828.459179
380.0,1266,829.960941
280.0,971,831.149094
200.0,649,831.902921
240.0,857,832.959065
280.0,1137,834.319036
520.0,1740,836.378397
520.0,1548,838.2985
380.0,1254,840.552788
380.0,1451,842.277103
400.0,1211,843.771626
260.0,983,844.909123
300.0,856,845.951889
360.0,1363,847.556859
360.0,1181,849.03099
320.0,1209,850.603864
260.0,983,852.406846
220.0,985,853.604718
160.0,698,854.425134
200.0,842,855.407151
420.0,1410,857.094272
320.0,1002,858.36526
480.0,1375,860.000605
160.0,634,860.744795
200.0,841,861.786775
200.0,822,862.931115
160.0,682,864.218869
160.0,618,865.026628
220.0,946,866.124913
260.0,1041,867.365158
340.0,1128,868.715068
300.0,1116,870.085748
320.0,1130,871.419005
380.0,1375,873.046403
140.0,602,873.742172
420.0,1415,876.009504
240.0,913,877.294418
340.0,1288,878.843194
360.0,1087,880.131885
460.0,1551,881.985479
460.0,1548,883.841585
520.0,1583,885.733865
420.0,1400,887.912956
320.0,1381,889.873833
340.0,1079,891.155289
280.0,1103,892.485094
380.0,1392,894.160934
380.0,1259,895.649017
400.0,1308,897.198116
280.0,1072,898.499677
380.0,1084,900.466526
500.0,1420,902.306734
500.0,1719,904.376387
380.0,1306,905.979882
220.0,810,906.916548
260.0,924,908.036051
120.0,517,908.626357
280.0,958,909.76637
240.0,807,910.84422
200.0,781,912.245963
260.0,802,913.434603
420.0,1466,915.15436
380.0,1275,916.698089
300.0,1083,918.047362
220.0,1046,919.338821
200.0,688,920.141304
520.0,1508,921.995944
340.0,1130,923.602138
260.0,959,925.224696
520.0,1542,927.074786
480.0,1505,928.880132
200.0,735,929.799679
500.0,1559,931.666041
400.0,1191,933.089717
220.0,832,934.047275
220.0,943,935.367551
200.0,723,936.653169
180.0,690,937.589082
340.0,1229,939.033874
240.0,742,939.898612
580.0,1570,941.78691
500.0,1635,943.761838
480.0,1623,945.742072
320.0,1048,946.986252
280.0,926,948.72998
320.0,1034,950.098201
240.0,980,951.30696
300.0,968,952.487078
180.0,644,953.246973
220.0,805,954.174876
200.0,878,955.246713
400.0,1194,956.669502
