#{"t_start": 1711632374.8105834, "env_id": "None"}
r,l,t
500.0,1353,551.670268
460.0,1447,555.698316
280.0,855,557.828874
220.0,737,559.598234
360.0,1159,562.382212
140.0,507,563.740968
480.0,1261,567.122586
400.0,1174,569.951786
260.0,747,571.694879
420.0,1256,574.687796
460.0,1431,578.071366
300.0,1035,580.511767
440.0,1293,583.585505
320.0,955,585.831044
340.0,1169,588.957433
320.0,1051,591.449097
300.0,988,593.808728
360.0,1104,596.451788
180.0,682,598.111371
240.0,762,599.902122
400.0,1316,602.997879
440.0,1172,605.767541
300.0,936,608.142499
340.0,915,610.504509
160.0,628,611.982313
140.0,527,613.219189
400.0,1157,616.131199
320.0,990,618.553411
280.0,762,620.35175
180.0,656,621.891797
400.0,1108,624.547394
460.0,1306,627.629875
340.0,1018,630.059883
280.0,885,632.1429
400.0,1103,634.777813
440.0,1319,638.205082
400.0,1196,641.048726
200.0,762,642.820685
80.0,421,643.794081
340.0,987,646.13595
360.0,1075,648.652546
260.0,795,650.558672
140.0,555,651.888062
280.0,973,654.152054
220.0,698,655.819225
280.0,918,657.981493
400.0,1235,660.915347
240.0,845,662.941945
400.0,1203,665.807116
180.0,653,667.363829
340.0,986,669.66272
360.0,1065,672.259815
360.0,1117,674.88618
320.0,975,677.199846
420.0,1194,680.002222
300.0,907,682.192765
220.0,765,684.020419
160.0,634,685.521213
280.0,961,687.854165
380.0,1153,690.583325
160.0,652,692.110898
460.0,1419,695.841744
440.0,1297,699.282013
280.0,889,701.465538
300.0,988,703.834331
360.0,1086,706.397154
220.0,672,708.009625
220.0,692,709.644992
160.0,627,711.081865
420.0,1223,714.033056
320.0,1039,716.455676
300.0,946,718.69177
320.0,1077,721.293179
460.0,1335,724.480895
220.0,729,726.208233
240.0,755,727.991326
300.0,1031,730.609102
560.0,1626,734.426927
360.0,1290,737.455651
260.0,730,739.147746
260.0,870,741.259207
200.0,732,743.002487
140.0,672,744.713804
120.0,492,746.07052
200.0,663,747.807648
140.0,629,749.325066
260.0,836,751.688487
240.0,769,753.519871
200.0,869,755.561425
340.0,1074,758.081508
320.0,1014,761.015393
360.0,1011,763.6964
320.0,991,766.201324
220.0,766,768.027405
440.0,1185,770.863166
420.0,1163,773.666611
340.0,1135,776.388571
500.0,1380,779.745416
300.0,924,781.930549
380.0,1091,784.548743
300.0,1048,787.067164
520.0,1419,790.462023
300.0,920,793.058029
